tsn	tsn_accepted
4825421	
4829780	
4825344	
8313407	
4834280	
4830237	
4826442	
4826530	
4835824	
4830778	
4825413	
4834082	
4825505	
4834076	
3240746	
4826608	
4831578	
4825403	
4826324	
4577815	
8773241	
4832898	
4832933	
3239988	
4826506	
4825514	
4829682	
4826623	
4826697	
4975199	
4830703	
4832944	
4832979	
4832989	
4825448	
4830828	
4571789	
4834041	
3240094	
4831248	
4830773	
4831219	
4834028	
7237061	
4826558	
4826354	
4826671	
4834365	
4831755	
4825571	
4835866	
3239983	
4826601	
4826588	
4825502	
9085570	
4833025	
8989263	
4826344	
4576808	
4826541	
4834086	
4833041	
4825450	
4831241	
4829784	
4577871	
4826921	
4834077	
4832992	
4835868	
3239428	
4830829	
8582709	
4830681	
4832942	
4826517	
4826610	
4832926	
4829641	
4825443	
4826704	
8054291	
4825812	
4825466	
9252710	
4826444	
4832894	
4835916	
4825579	
4831289	
4826445	
4825784	
4835822	
3239808	
4829735	
4825483	
4825586	
4826369	
4830786	
4835841	
4829757	
9522340	
4826628	
4829709	
4826350	
4830757	
4825516	
4831266	
4833003	
4826503	
4826635	
4833040	
4832929	
4825667	
4831234	
4825430	
4826634	
4826533	
4826537	
3240464	
4834043	
4832940	
4825379	
4834036	
4826592	
4829705	
4825584	
3239832	
4825638	
4835897	
4826346	
4826923	
4826603	
4575579	
4573459	
4825479	
4832255	
8151760	
7542924	
4833005	
4831749	
4830225	
4826611	
4826722	
3239829	
4825575	
4829681	
7237049	
4830768	
4834393	
4832962	
4834030	
4829657	
4832932	
4826719	
4826641	
4832931	
4826965	
4832911	
4826314	
9434887	
7562513	
4829679	
4831757	
5428968	
4826925	
4832996	
4826983	
4832879	
4826313	
4834053	
4831237	
4835831	
4825498	
4826694	
4829739	
4829767	
4825470	
4833022	
4830789	
4825478	
3239506	
4825395	
4831163	
4834073	
4826630	
4572924	
4825668	
4825426	
4825510	
4826496	
4831478	
4826977	
4830224	
4578555	
4835820	
4830064	
4830220	
4825815	
4833012	
4833001	
4571763	
4834027	
4825334	
4826461	
4834673	
4970609	
4829633	
4826434	
4830764	
4834562	
4826591	
4830221	
6759353	
3239976	
4827782	
4573249	
4825576	
4574869	
4825340	
4832910	
4826633	
4832904	
4834104	
4832238	
4834102	
4829696	
4834670	
4831574	
4825322	
4830211	
4825420	
4831571	
4831490	
4830228	
4835906	
4826949	
4830214	
3239980	
4830206	
4833007	
4833038	
4834111	
4826368	
4835840	
4825660	
4825424	
4830762	
4832886	
4825454	
4835872	
4825819	
4826643	
4826696	
4829756	
4834667	
4826531	
9420938	
4825582	
4832770	
8230214	
3239930	
4826948	
4835890	
4829761	
4831242	
4831277	
4825328	
4832260	
4825588	
4832991	
4830767	
4832887	
4829634	
4826622	
4826536	
4829658	
4826459	
4829632	
4826674	
4829783	
4833009	
4834038	
4826960	
4834070	
4826642	
4829745	
4834091	
4826353	
4834294	
4834286	
4830782	
4835845	
4831285	
4831232	
4826700	
4826616	
4830820	
4825333	
4831496	
4572544	
4831008	
4832757	
4577565	
3239878	
4831112	
8308883	
4825346	
4834018	
4829722	
4835835	
4825646	
4835896	
4835903	
4830855	
4831253	
3239827	
4831282	
3239780	
7237029	
4826625	
3239800	
4835901	
4826709	
4826351	
4572534	
4830684	
4830705	
4831188	
4833020	
8010963	
4826440	
4825823	
4831256	
3240460	
4826321	
4829740	
4833016	
3240512	
4826446	
4832880	
4829763	
8652057	8628111
9130063	4265999
4827783	
4835895	
7943960	
4826542	
3240499	
4826725	
4831756	
4834093	
4829695	
4829768	
4826322	
4831104	
4832236	
4832243	
9504033	
4826373	
3240761	
3239802	
4831279	
4829752	
4829708	
3239813	
4830686	
4829812	
4829729	
4833023	
9243679	
4826959	
4835892	
4826979	
8144403	
4832973	
4834657	
4825429	
4825557	
4825336	
4825329	
4830784	
4830231	
4825661	
4830700	
4830223	
4571802	
4832885	
4825343	
4825570	
4825465	
4830693	
4829671	
4826976	
4826950	
4825427	
4826705	
4825323	
3239979	
4831505	
4830823	
4829762	
4829715	
3240265	
4576464	
4835904	
4830770	
4835891	
3239679	
4832984	
4826473	
4826463	
4835879	
4832947	
4834067	
7237030	
4832875	
4825645	
3239830	
8536496	8533202
4832895	
4826943	
4825494	
4826928	
4830759	
3239810	
4831238	
4829668	
4834290	
4832872	
4834031	
4826711	
4826717	
4829720	
4831500	
4829723	
4833045	
4832767	
4830824	
4833014	
4826552	
4835826	
4835909	
7418864	
4826538	
4830210	
4826518	
4831283	
3239853	
3239875	
7237037	
4835899	
4829661	
4831281	
4825393	
4577431	
4832766	
3239347	
8283404	
4830242	
4834376	
4832262	
4834110	
3240755	
3238766	
4825484	
7237036	
4830267	
4834120	
4829710	
4832754	
4825674	
4826349	
4834656	
8865974	
6141997	
4829692	
4572261	
4574726	
4825496	
4825475	
4826708	
4830819	
4825820	
4829680	
4829817	
4826958	
4832263	
4834662	
3240347	
4832968	
8600189	
3239881	
4829699	
4826927	
4825472	
3240459	
4834044	
4826932	
4826520	
8428334	
4826433	
7237028	
4829642	
7938062	
4832756	
4826597	
4826348	
4826922	
4831582	
4835867	
4834399	
4826715	
4829777	
4576716	
4829775	
4970577	
7391806	
4831252	
4829749	
4834061	
8548467	
4826712	
4833006	
4834099	
7753366	
4826535	
4830690	
4830766	
4576949	
4832251	
4835842	
4831502	
7237041	
3239852	
4835885	
4826602	
4971404	
3239806	
4826366	
4830232	
4831479	
4829721	
4834283	
4834069	
4830830	
4832915	
4830857	
4832687	
4835898	
4835829	
4826439	
4825569	
4826680	
4834660	
4826955	
4829770	
4832689	
3239426	
4834569	
4830783	
4831102	
8404186	
4832246	
4834391	
4829737	
4832881	
4826356	
4833048	
3240263	
4834567	
4826692	
4825490	
4830777	
4829712	
4831287	
4829733	
9168515	
4825422	
4825364	
4825467	
4826617	
4825469	
4826978	
4825368	
4834368	
4831217	
4826362	
4825383	
4970282	
5428930	
4825392	
4829717	
4825644	
4825444	
4578584	
4826454	
3240466	
4834287	
4834119	
4831575	
4825367	
4835860	
4825324	
4826557	
4831229	
4835894	
4826956	
4825824	
4825476	
4825811	
3240480	
4832237	
4826590	
3239387	
3240178	
4825670	
3240074	
4831225	
4826946	
4826936	
4831495	
4832928	
4826600	
3240461	
4825642	
4832261	
4829683	
4831586	
4826964	
4829736	
4830204	
9403080	
4835834	
4825789	
4826631	
3239978	
4826343	
4829669	
4830816	
4829701	
4830694	
4832987	
4834396	
4834075	
4829653	
4829690	
4832900	
3239987	
4576339	
3239931	
4826598	
4832252	
4577782	
4826500	
4825663	
4825501	
4834026	
4825330	
4835912	
4830689	
4826953	
4829637	
4833004	
4834072	
4572348	
4832878	
4826435	
4826464	
4834375	
4834116	
4834390	
4834366	
4825347	
4832925	
8187334	
4830054	
4835838	
3239982	
4833010	
4829626	
4826318	
4825491	
4829833	
4825363	
4830068	
4831528	
4826548	
4826971	
4832908	
4825559	
7870785	
4829719	
4834114	
4825482	
8535730	
4826450	
4574237	
4827784	
4832946	
4831286	
4826626	
4832909	
4834100	
4826672	
3239348	
4826361	
4830070	
4834078	
4825641	
4830061	
3238777	
4826918	
4826466	
4834387	
4825440	
4834097	
4831491	
4835825	
4832755	
4826335	
4832918	
6142067	
4825481	
4826495	
4825515	
4825662	
4830772	
4826606	
4830758	
4827049	
4825401	
4826707	
3238963	
4834668	
4826629	
4833011	
4835917	
3239857	
4825549	
4829664	
4833035	
4829660	
4825512	
7807954	2433894
5218899	2433894
9297103	2433894
9636060	4969551
7886916	5218887
8123371	5218887
8207313	5218887
7387233	5218887
7693275	5218887
9824954	5218887
9433613	9211061
8692800	8482834
8543059	8526794
8726959	8526794
4266958	8526794
8657129	8526794
8499138	9567377
5936150	
9599224	2437570
9288662	2437570
8650768	8548981
9053530	2439487
7990777	2439486
8726147	5219584
5707360	5219584
7262049	5219584
8752527	5219573
8666032	8534846
9221330	
9467890	
8664434	9277390
8536285	9277390
5786239	2436525
9453331	2436525
7889998	2436525
5786241	2436525
7390170	2436525
8470243	8678100
5816469	2440152
4974896	9521397
8759302	2439889
9128320	2438772
8921971	2438772
8333912	2438772
7814386	2438772
9014211	2438772
8370494	2438772
7684361	2438772
7378471	2438772
7504806	2438772
7388871	2438772
9207011	2438772
8939716	2438772
9032686	2438772
8132637	2438772
8956850	2438772
8197931	2438772
4409136	2438772
7877852	2438772
8741691	2438772
8883515	2438772
8849214	2438772
4266167	7261844
8986106	2440151
9621443	8552966
2436477	8628111
9334140	8438124
4970149	9567377
9511735	9567377
4972322	9283499
9498476	4968805
4972093	9540493
9237777	5936108
9609448	8667854
9352599	8667854
9452256	4969347
9046021	4969347
9613768	9277390
4973082	9277390
4971762	9422704
6142186	8696239
4974946	8678100
8622618	9521397
8627298	8824941
8557091	9311155
9287974	8616364
9363003	8616364
9463614	8656035
9304673	8656035
8668384	9211061
9289892	9211061
8505174	4969551
9320750	9567377
9492403	9277390
9302166	9277390
9301773	7194025
9249954	9521397
9499109	2440339
2440343	2440339
4352099	2440339
4352094	2440339
4352089	2440339
4352101	2440339
4352097	2440339
8525494	2440339
8097127	2440339
7600316	2440339
4352100	2440339
6165027	2440339
4352091	2440339
4352090	2440339
2440342	2440339
4352096	2440339
4352095	2440339
8676493	2440339
7655981	2440339
4352093	2440339
5787301	5706920
9529877	4834174
4834175	4834174
9429144	4834174
4825733	2436839
4825759	2436937
4825736	2436839
4825735	2436839
3239533	2436839
4825734	2436839
9338472	4829263
4829132	2439791
7798564	3240675
4828665	3240675
4827396	2436659
4827368	2436659
4827397	2436659
8566122	4827073
4827393	2436659
3239577	2436659
3239678	4827073
3239571	4827073
4830106	4832852
4831107	3239257
4831109	3239257
3239258	3239257
4831108	3239257
8542687	4830396
9308072	4830396
8657510	4830396
8674590	4830396
4833555	2434443
4833560	2434443
4833553	2434443
4833471	2434443
7803113	5219142
4833475	5219142
8693269	5219142
4833472	5219142
4833486	5219142
4576220	5219142
4833557	2434443
4833485	5219142
4833481	5219142
3240002	5219142
4833552	2434443
4833483	5219142
4833478	5219142
4833558	2434443
4833508	2434443
5428984	5219142
4833477	5219142
