taxon_id	taxon_name	tree_name
492	Sylvisorex vulcanorum	mammalST_bestDates.dnd
493	Anourosorex squamipes	mammalST_bestDates.dnd
494	Elephantulus edwardii	mammalST_bestDates.dnd
495	Elephantulus myurus	mammalST_bestDates.dnd
496	Burramys parvus	mammalST_bestDates.dnd
497	Bettongia gaimardi	mammalST_bestDates.dnd
498	Bettongia lesueur	mammalST_bestDates.dnd
499	Bettongia penicillata	mammalST_bestDates.dnd
500	Lagostrophus fasciatus	mammalST_bestDates.dnd
501	Potorous longipes	mammalST_bestDates.dnd
502	Potorous tridactylus	mammalST_bestDates.dnd
503	Phascogale calura	mammalST_bestDates.dnd
504	Phascogale tapoatafa	mammalST_bestDates.dnd
505	Dasykaluta rosamondae	mammalST_bestDates.dnd
506	Parantechinus apicalis	mammalST_bestDates.dnd
507	Myoictis melas	mammalST_bestDates.dnd
508	Pseudantechinus ningbing	mammalST_bestDates.dnd
509	Planigale tenuirostris	mammalST_bestDates.dnd
510	Didelphis albiventris	mammalST_bestDates.dnd
511	Dendroprionomys rousseloti	mammalST_bestDates.dnd
512	Deomys ferrugineus	mammalST_bestDates.dnd
513	Lophiomys imhausi	mammalST_bestDates.dnd
514	Malacothrix typica	mammalST_bestDates.dnd
515	Megadendromus nikolausi	mammalST_bestDates.dnd
516	Mystromys albicaudatus	mammalST_bestDates.dnd
517	Prionomys batesi	mammalST_bestDates.dnd
518	Massoutiera mzabi	mammalST_bestDates.dnd
519	Pectinator spekei	mammalST_bestDates.dnd
520	Ctenomys conoveri	mammalST_bestDates.dnd
521	Ctenomys frater	mammalST_bestDates.dnd
522	Ctenomys boliviensis	mammalST_bestDates.dnd
523	Ctenomys steinbachi	mammalST_bestDates.dnd
524	Ctenomys haigi	mammalST_bestDates.dnd
525	Ctenomys leucodon	mammalST_bestDates.dnd
526	Ctenomys opimus	mammalST_bestDates.dnd
527	Ctenomys mendocinus	mammalST_bestDates.dnd
528	Ctenomys pearsoni	mammalST_bestDates.dnd
529	Ctenomys torquatus	mammalST_bestDates.dnd
