tsn	completename
4831643	Pastoralodontidae
3239394	Geolabididae
7916902	Henosferidae
6142027	Harpaladae
9265570	Praopidae
4975204	Gobiconodontidae
4834230	Notonychopidae
4825867	Kermackiidae
4970800	Camelopardalidae
4831307	Bolodontidae
8419038	Kennalestidae
8499290	Sororyctidae
8620750	Tembotheridae
3240519	Notostylopidae
9574326	Chlamydotheridae
3240541	Homalodotheriidae
8285535	Casamiquelidae
9311453	Cingulata
3239401	Borhyaenidae
3239697	Paulchoffatiidae
3240529	Sparnotheriodontidae
3240469	Proterotheriidae
8442100	Pleuraspidotheriidae
4971396	Caenotheriidae
8611589	Haplodontheriidae
8653865	Hahnotheriidae
3239680	Amphilestidae
4827007	Deltatheroididae
794	Peramelemorphia
783	Didelphimorphia
796	Pholidota
801	Scandentia
804	Tubulidentata
731	Artiodactyla
790	Microbiotheria
784	Hyracoidea
802	Sirenia
1459	Rodentia
785	Lagomorpha
799	Proboscidea
1453	Macroscelidea
736	Dasyuromorphia
791	Monotremata
1494	Pilosa
737	Dermoptera
1452	Diprotodontia
798	Primates
735	Cingulata
795	Perissodactyla
803	Soricomorpha
732	Carnivora
829	Erinaceomorpha
1454	Notoryctemorphia
828	Afrosoricida
734	Chiroptera
8978881	Regitherium bunodonta
6142033	Mingotheriidae
3240747	Hyaenodontidae
4971421	Trigonolestidae
8579992	Yuesthonychidae
4968706	Djadochtatheriidae
8660115	Paraeopentapodiscidae
4970574	Canthumerycidae
6142012	Ochtodontidae
8515922	Cotylopidae
3239406	Dryolestidae
8474620	Jaskhadelphyidae
4831715	Bemalambdidae
4834131	Mayulestidae
4831518	Asiatheriidae
4831351	Theroteinidae
4831375	Taeniolabididae
4831483	Ameghinichnidae
8471211	Parapternodontidae
6142062	Nanocuridae
3239418	Arctocyonidae
4830749	Mesungulatidae
4940719	Triplopidae
8594299	Pentacodontidae
4832891	Palaeoamasidae
3240268	Plesiorycteropodidae
6142059	Doedicuridae
3239683	Taeniolabidae
4825518	Trigonostylopidae
4834136	Kollpaniidae
4831418	Albionbaataridae
3240536	Oldfieldthomasiidae
8469137	Rhombomylidae
3239397	Proscalopidae
9592173	Archaeomerycidae
3239954	Ptolemaiidae
4830048	Protolipternidae
4825389	Mimolagidae
4831265	Prodinoceratidae
6142018	Meniscotheridae
4830036	Archaeopithecidae
8608543	Henkelotheriidae
4968746	Corriebaataridae
6141981	Haramyidae
4826326	Morganucodontidae
4831605	Wangliidae
3239498	Dicrocynodontidae
6142065	Amblytheriidae
4834063	Mimotonidae
4968735	Microcosmodontidae
3239936	Paroxyclaenidae
4968588	Subungulata
6141989	Calamodontidae
3239960	Apatemyidae
3240523	Acoelodidae
9291802	Teratodontidae
8486435	Decipomyidae
4825872	Arsinoitheriidae
4825318	Sinoconodontidae
4831627	Cyriacotheriidae
4969151	Hyracotheriidae
4831598	Metacheiromyidae
8559409	Ortotheridae
4969677	Rhodopagidae
8455577	Zhangheotheriidae
4831366	Eobaataridae
8461501	Peligrotheriidae
4831608	Tillotheriidae
4825525	Astrapotheriidae
3240533	Interatheriidae
8680742	Eutrachytheridae
4975077	Hathliacynidae
4831317	Ferugliotheriidae
3239504	Mioclaenidae
3240531	Notohippidae
3240514	Toxodontidae
6142031	Ursinidae
4968587	Palmipeda
8646640	Eopentapodiscidae
3240487	Holoclemensiidae
6142064	Thereuodontidae
4827023	Plesiosoricidae
3239803	Thylacosmilidae
8663645	Mozomuridae
4835913	Carodniidae
9288065	Wyolestidae
4831300	Arginbaataridae
3239495	Docodontidae
6142029	Amblyctonidae
8999405	Eutrachytheriidae
9524320	Proterotherioidea
4826681	Arctostylopidae
3239947	Pantolestidae
3239950	Coryphodontidae
3240538	Mesotheriidae
6141990	Conoryctidae
3239507	Phenacodontidae
9430421	Proboscidea
4831590	Pantolambdodontidae
3240176	Gondwanatheriidae
4830031	Typotheriidae
4825799	Spalacotheriidae
4975142	Pucadelphydae
9622972	Cornwalliusidae
3239938	Epoicotheriidae
